0.4107142857142857 0.9615384615384616 1 0 0 0.05357142857142857 0.7307692307692307 1 0 0 0.21428571428571427 0.19230769230769232 1 0 3 0.8928571428571429 0.7307692307692307 1 1 0 0.7678571428571429 0.23076923076923078 0 1 2 0.8214285714285714 0.3076923076923077 1 1 1 7 7 8 6 0 0 0 7 7 8 6 3 0 0 0 0 2 0 0 0 1.0 5 0.1 1.0583333333333333 0 0;-0.03333333333333333 -0.06666666666666667 -0.13333333333333333 -0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9642857142857143 0.15384615384615385 1 1 3 0.9642857142857143 0.38461538461538464 1 1 3 0.9642857142857143 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 3.7037037037037035E-4 1 0.0 0.0 0 0;-0.03333333333333333 -0.06666666666666668 0.06666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9642857142857143 0.15384615384615385 1 1 3 0.9642857142857143 0.38461538461538464 1 1 3 0.9642857142857143 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 5.555555555555556E-4 2 0.0 0.0 0 0;-0.13333333333333333 0.0 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9642857142857143 0.15384615384615385 1 1 3 0.9642857142857143 0.38461538461538464 1 1 3 0.9642857142857143 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 7.407407407407407E-4 3 0.0 0.0 0 0;0.06666666666666667 0.0 0.19999999999999998 0.19999999999999998 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9464285714285714 0.15384615384615385 1 1 3 0.9642857142857143 0.38461538461538464 1 1 3 0.9642857142857143 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 9.25925925925926E-4 4 0.0 0.0 0 0;0.03333333333333333 -0.1 0.0 0.13333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9464285714285714 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 3 0.9642857142857143 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0011111111111111111 5 0.0 0.0 0 0;0.13333333333333333 0.03333333333333333 0.03333333333333333 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 2 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9464285714285714 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 3 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0012962962962962963 0 0.0 0.0 0 0;0.0 -0.13333333333333333 -0.06666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.017857142857142856 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9464285714285714 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 3 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0014814814814814814 1 0.0 0.0 0 0;0.03333333333333333 -0.13333333333333333 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9464285714285714 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 3 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0016666666666666668 2 0.0 0.0 0 0;-1.3877787807814457E-17 -0.03333333333333333 -0.06666666666666668 -0.06666666666666668 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9464285714285714 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 3 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.001851851851851852 3 0.0 0.0 0 0;0.1 -0.03333333333333333 0.06666666666666668 0.26666666666666666 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9285714285714286 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 3 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.002037037037037037 4 0.0 0.0 0 0;-0.06666666666666668 0.03333333333333333 0.0 0.06666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9285714285714286 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0022222222222222222 5 0.0 0.0 0 0;0.0 0.13333333333333333 -0.06666666666666667 -1.3877787807814457E-17 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 3 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9285714285714286 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0024074074074074076 0 0.0 0.0 0 0;-0.03333333333333333 0.03333333333333333 -0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9285714285714286 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0025925925925925925 1 0.0 0.0 0 0;0.0 0.03333333333333333 0.0 0.06666666666666668 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 2 0.9285714285714286 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.002777777777777778 2 0.0 0.0 0 0;0.0 -0.19999999999999998 0.0 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9285714285714286 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.002962962962962963 3 0.0 0.0 0 0;0.1 0.16666666666666666 0.13333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.38461538461538464 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.003148148148148148 4 0.0 0.0 0 0;0.06666666666666667 -0.06666666666666668 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.34615384615384615 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0033333333333333335 5 0.0 0.0 0 0;0.0 -0.13333333333333333 -0.13333333333333333 -0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.34615384615384615 1 1 0 0.9464285714285714 0.8076923076923077 1 1 0 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0035185185185185185 0 0.0 0.0 0 0;-0.06666666666666667 0.0 -0.16666666666666666 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 1 0.03571428571428571 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.34615384615384615 1 1 0 0.9464285714285714 0.8076923076923077 1 1 0 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.003703703703703704 1 0.0 0.0 0 0;0.0 0.03333333333333333 -0.06666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 1 0.05357142857142857 0.5769230769230769 1 0 1 0.017857142857142856 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.34615384615384615 1 1 0 0.9464285714285714 0.8076923076923077 1 1 0 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0038888888888888888 2 0.0 0.0 0 0;-0.06666666666666667 -0.06666666666666668 0.0 -0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 1 0.05357142857142857 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.34615384615384615 1 1 0 0.9464285714285714 0.8076923076923077 1 1 0 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.004074074074074074 3 0.0 0.0 0 0;0.0 0.03333333333333333 -0.13333333333333333 1.3877787807814457E-17 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 1 0.05357142857142857 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.34615384615384615 1 1 0 0.9464285714285714 0.8076923076923077 1 1 0 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0042592592592592595 4 0.0 0.0 0 0;0.03333333333333333 1.3877787807814457E-17 0.06666666666666667 -0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 1 0.05357142857142857 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.3076923076923077 1 1 0 0.9464285714285714 0.8076923076923077 1 1 0 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.0044444444444444444 5 0.0 0.0 0 0;0.03333333333333333 0.03333333333333333 -0.06666666666666668 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 1 0.05357142857142857 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.3076923076923077 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.004629629629629629 0 0.0 0.0 0 0;-0.13333333333333333 0.0 0.0 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.05357142857142857 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.3076923076923077 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.004814814814814815 1 0.0 0.0 0 0;0.16666666666666666 0.19999999999999998 -0.06666666666666667 1.3877787807814457E-17 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.07142857142857142 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 1 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.3076923076923077 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.005 2 0.0 0.0 0 0;-0.03333333333333333 -0.06666666666666668 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.07142857142857142 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 2 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.3076923076923077 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.005185185185185185 3 0.0 0.0 0 0;0.03333333333333333 0.06666666666666668 0.13333333333333333 -0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.07142857142857142 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 2 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.3076923076923077 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.00537037037037037 4 0.0 0.0 0 0;0.0 0.06666666666666667 -0.13333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
0.017857142857142856 0.15384615384615385 1 0 0 0.07142857142857142 0.5769230769230769 1 0 1 0.03571428571428571 0.8076923076923077 1 0 2 0.9107142857142857 0.15384615384615385 1 1 3 0.9464285714285714 0.2692307692307692 1 1 0 0.9464285714285714 0.8076923076923077 1 1 3 7 7 10 6 0 0 0 7 7 10 6 0 0 0 0 0 0 0 0 0 0.005555555555555556 5 0.0 0.0 0 0;0.06666666666666667 0.1 -0.06666666666666667 0.19999999999999998 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.25 0.25 0.25 0.0 0.0 0.0 0.0 0.0 0.0
